1640785032947,96,"Wed, 29 Dec 2021 13:37:12 GMT","12/29/2021, 2:37:12 PM"
1640785036006,96,"Wed, 29 Dec 2021 13:37:16 GMT","12/29/2021, 2:37:16 PM"
1640785042022,96,"Wed, 29 Dec 2021 13:37:22 GMT","12/29/2021, 2:37:22 PM"
1640785044015,102,"Wed, 29 Dec 2021 13:37:24 GMT","12/29/2021, 2:37:24 PM"
1640785046136,102,"Wed, 29 Dec 2021 13:37:26 GMT","12/29/2021, 2:37:26 PM"
1640785047247,102,"Wed, 29 Dec 2021 13:37:27 GMT","12/29/2021, 2:37:27 PM"
1640785047251,102,"Wed, 29 Dec 2021 13:37:27 GMT","12/29/2021, 2:37:27 PM"
1640785049282,102,"Wed, 29 Dec 2021 13:37:29 GMT","12/29/2021, 2:37:29 PM"
1640785051061,102,"Wed, 29 Dec 2021 13:37:31 GMT","12/29/2021, 2:37:31 PM"
1640785052967,102,"Wed, 29 Dec 2021 13:37:32 GMT","12/29/2021, 2:37:32 PM"
1640785055058,102,"Wed, 29 Dec 2021 13:37:35 GMT","12/29/2021, 2:37:35 PM"
1640785056944,102,"Wed, 29 Dec 2021 13:37:36 GMT","12/29/2021, 2:37:36 PM"
1640785303269,78,"Wed, 29 Dec 2021 13:41:43 GMT","12/29/2021, 2:41:43 PM"
1640785304862,78,"Wed, 29 Dec 2021 13:41:44 GMT","12/29/2021, 2:41:44 PM"
1640785307043,78,"Wed, 29 Dec 2021 13:41:47 GMT","12/29/2021, 2:41:47 PM"
1640785308963,78,"Wed, 29 Dec 2021 13:41:48 GMT","12/29/2021, 2:41:48 PM"
1640785310884,78,"Wed, 29 Dec 2021 13:41:50 GMT","12/29/2021, 2:41:50 PM"
1640785312844,79,"Wed, 29 Dec 2021 13:41:52 GMT","12/29/2021, 2:41:52 PM"
1640785315031,79,"Wed, 29 Dec 2021 13:41:55 GMT","12/29/2021, 2:41:55 PM"
1640785316807,79,"Wed, 29 Dec 2021 13:41:56 GMT","12/29/2021, 2:41:56 PM"
1640785318828,79,"Wed, 29 Dec 2021 13:41:58 GMT","12/29/2021, 2:41:58 PM"
1640785323870,79,"Wed, 29 Dec 2021 13:42:03 GMT","12/29/2021, 2:42:03 PM"
1640785324900,79,"Wed, 29 Dec 2021 13:42:04 GMT","12/29/2021, 2:42:04 PM"
1640785444086,79,"Wed, 29 Dec 2021 13:44:04 GMT","12/29/2021, 2:44:04 PM"
1640785445978,79,"Wed, 29 Dec 2021 13:44:05 GMT","12/29/2021, 2:44:05 PM"
1640785447972,79,"Wed, 29 Dec 2021 13:44:07 GMT","12/29/2021, 2:44:07 PM"
1640785453070,79,"Wed, 29 Dec 2021 13:44:13 GMT","12/29/2021, 2:44:13 PM"
1640785457391,79,"Wed, 29 Dec 2021 13:44:17 GMT","12/29/2021, 2:44:17 PM"
1640785457404,79,"Wed, 29 Dec 2021 13:44:17 GMT","12/29/2021, 2:44:17 PM"
1640785458209,79,"Wed, 29 Dec 2021 13:44:18 GMT","12/29/2021, 2:44:18 PM"
1640785458242,79,"Wed, 29 Dec 2021 13:44:18 GMT","12/29/2021, 2:44:18 PM"
1640785460022,79,"Wed, 29 Dec 2021 13:44:20 GMT","12/29/2021, 2:44:20 PM"
1640785461976,79,"Wed, 29 Dec 2021 13:44:21 GMT","12/29/2021, 2:44:21 PM"
1640785464079,79,"Wed, 29 Dec 2021 13:44:24 GMT","12/29/2021, 2:44:24 PM"
1640785465969,79,"Wed, 29 Dec 2021 13:44:25 GMT","12/29/2021, 2:44:25 PM"
1640785468010,79,"Wed, 29 Dec 2021 13:44:28 GMT","12/29/2021, 2:44:28 PM"
1640785469973,79,"Wed, 29 Dec 2021 13:44:29 GMT","12/29/2021, 2:44:29 PM"
1640785472127,79,"Wed, 29 Dec 2021 13:44:32 GMT","12/29/2021, 2:44:32 PM"
1640785473981,79,"Wed, 29 Dec 2021 13:44:33 GMT","12/29/2021, 2:44:33 PM"
1640785476015,79,"Wed, 29 Dec 2021 13:44:36 GMT","12/29/2021, 2:44:36 PM"
1640785478007,79,"Wed, 29 Dec 2021 13:44:38 GMT","12/29/2021, 2:44:38 PM"
1640785479981,79,"Wed, 29 Dec 2021 13:44:39 GMT","12/29/2021, 2:44:39 PM"

1640785492173,89,"Wed, 29 Dec 2021 13:44:52 GMT","12/29/2021, 2:44:52 PM"
1640785492213,89,"Wed, 29 Dec 2021 13:44:52 GMT","12/29/2021, 2:44:52 PM"
1640785494221,100,"Wed, 29 Dec 2021 13:44:54 GMT","12/29/2021, 2:44:54 PM"
1640785494229,100,"Wed, 29 Dec 2021 13:44:54 GMT","12/29/2021, 2:44:54 PM"
1640785494248,100,"Wed, 29 Dec 2021 13:44:54 GMT","12/29/2021, 2:44:54 PM"
1640785496002,100,"Wed, 29 Dec 2021 13:44:56 GMT","12/29/2021, 2:44:56 PM"
1640785498009,100,"Wed, 29 Dec 2021 13:44:58 GMT","12/29/2021, 2:44:58 PM"
1640785499991,100,"Wed, 29 Dec 2021 13:44:59 GMT","12/29/2021, 2:44:59 PM"
1640785502002,100,"Wed, 29 Dec 2021 13:45:02 GMT","12/29/2021, 2:45:02 PM"
1640785504020,100,"Wed, 29 Dec 2021 13:45:04 GMT","12/29/2021, 2:45:04 PM"
1640785505992,100,"Wed, 29 Dec 2021 13:45:05 GMT","12/29/2021, 2:45:05 PM"
1640785508032,100,"Wed, 29 Dec 2021 13:45:08 GMT","12/29/2021, 2:45:08 PM"
1640785510028,100,"Wed, 29 Dec 2021 13:45:10 GMT","12/29/2021, 2:45:10 PM"
1640785521092,112,"Wed, 29 Dec 2021 13:45:21 GMT","12/29/2021, 2:45:21 PM"
1640785522360,112,"Wed, 29 Dec 2021 13:45:22 GMT","12/29/2021, 2:45:22 PM"
1640785523353,112,"Wed, 29 Dec 2021 13:45:23 GMT","12/29/2021, 2:45:23 PM"
1640785523365,112,"Wed, 29 Dec 2021 13:45:23 GMT","12/29/2021, 2:45:23 PM"
1640785524245,104,"Wed, 29 Dec 2021 13:45:24 GMT","12/29/2021, 2:45:24 PM"
